"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"22","Generate Parentheses","/problems/generate-parentheses","N","71.9%","Medium","67.2949%;"
"75","Sort Colors","/problems/sort-colors","N","57.4%","Medium","56.5029%;"
"206","Reverse Linked List","/problems/reverse-linked-list","N","72.5%","Easy","23.7979%;"
"295","Find Median from Data Stream","/problems/find-median-from-data-stream","N","51.5%","Hard","100%;"
