"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"1","Two Sum","/problems/two-sum","N","49.1%","Easy","2.44003%;"
"2","Add Two Numbers","/problems/add-two-numbers","N","39.8%","Medium","2.73966%;"
"3","Longest Substring Without Repeating Characters","/problems/longest-substring-without-repeating-characters","N","33.8%","Medium","1.10373%;"
"14","Longest Common Prefix","/problems/longest-common-prefix","N","40.8%","Easy","1.64652%;"
"21","Merge Two Sorted Lists","/problems/merge-two-sorted-lists","N","61.9%","Easy","1.42882%;"
"49","Group Anagrams","/problems/group-anagrams","N","66.5%","Medium","5.67795%;"
"53","Maximum Subarray","/problems/maximum-subarray","N","50.1%","Medium","1.87714%;"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","6.01858%;"
"152","Maximum Product Subarray","/problems/maximum-product-subarray","N","34.9%","Medium","2.15888%;"
"155","Min Stack","/problems/min-stack","N","51.9%","Medium","9.47489%;"
"230","Kth Smallest Element in a BST","/problems/kth-smallest-element-in-a-bst","N","69.4%","Medium","6.39413%;"
"336","Palindrome Pairs","/problems/palindrome-pairs","N","35.2%","Hard","100%;"
"416","Partition Equal Subset Sum","/problems/partition-equal-subset-sum","N","46.6%","Medium","14.4235%;"
"443","String Compression","/problems/string-compression","N","48.9%","Medium","9.8037%;"
"455","Assign Cookies","/problems/assign-cookies","N","50.5%","Easy","51.5444%;"
"468","Validate IP Address","/problems/validate-ip-address","N","26.5%","Medium","20.3168%;"
"560","Subarray Sum Equals K","/problems/subarray-sum-equals-k","N","44.0%","Medium","10.5352%;"
"695","Max Area of Island","/problems/max-area-of-island","N","71.7%","Medium","3.89925%;"
"992","Subarrays with K Different Integers","/problems/subarrays-with-k-different-integers","N","54.4%","Hard","36.1151%;"
"1010","Pairs of Songs With Total Durations Divisible by 60","/problems/pairs-of-songs-with-total-durations-divisible-by-60","N","52.9%","Medium","27.9872%;"
"1197","Minimum Knight Moves","/problems/minimum-knight-moves","Y","39.7%","Medium","31.5402%;"
"1094","Car Pooling","/problems/car-pooling","N","57.3%","Medium","17.7417%;"
"1200","Minimum Absolute Difference","/problems/minimum-absolute-difference","N","69.7%","Easy","14.2668%;"
"1326","Minimum Number of Taps to Open to Water a Garden","/problems/minimum-number-of-taps-to-open-to-water-a-garden","N","47.7%","Hard","70.8654%;"
"1334","Find the City With the Smallest Number of Neighbors at a Threshold Distance","/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance","N","53.2%","Medium","90.1863%;"
