"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"91","Decode Ways","/problems/decode-ways","N","32.3%","Medium","10.0834%;"
"124","Binary Tree Maximum Path Sum","/problems/binary-tree-maximum-path-sum","N","38.5%","Hard","9.49671%;"
"243","Shortest Word Distance","/problems/shortest-word-distance","Y","64.9%","Easy","55.6168%;"
"695","Max Area of Island","/problems/max-area-of-island","N","71.7%","Medium","11.2335%;"
"1239","Maximum Length of a Concatenated String with Unique Characters","/problems/maximum-length-of-a-concatenated-string-with-unique-characters","N","52.2%","Medium","100%;"
