"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"49","Group Anagrams","/problems/group-anagrams","N","66.5%","Medium","62.7733%;"
"121","Best Time to Buy and Sell Stock","/problems/best-time-to-buy-and-sell-stock","N","54.4%","Easy","25.5466%;"
"274","H-Index","/problems/h-index","N","38.2%","Medium","100%;"
