"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"2","Add Two Numbers","/problems/add-two-numbers","N","39.8%","Medium","45.5254%;"
"7","Reverse Integer","/problems/reverse-integer","N","27.2%","Medium","11.0571%;"
"20","Valid Parentheses","/problems/valid-parentheses","N","40.6%","Easy","13.0739%;"
"41","First Missing Positive","/problems/first-missing-positive","N","36.6%","Hard","30.8241%;"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","16.9989%;"
"135","Candy","/problems/candy","N","40.8%","Hard","72.0839%;"
"412","Fizz Buzz","/problems/fizz-buzz","N","68.9%","Easy","41.1713%;"
"692","Top K Frequent Words","/problems/top-k-frequent-words","N","56.9%","Medium","73.4415%;"
"697","Degree of an Array","/problems/degree-of-an-array","N","55.9%","Easy","100%;"
