"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"54","Spiral Matrix","/problems/spiral-matrix","N","43.8%","Medium","4.66875%;"
"707","Design Linked List","/problems/design-linked-list","N","27.5%","Medium","37.9243%;"
"1180","Count Substrings with Only One Distinct Letter","/problems/count-substrings-with-only-one-distinct-letter","Y","79.0%","Easy","71.1798%;"
"1243","Array Transformation","/problems/array-transformation","Y","50.7%","Easy","100%;"
