"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","17.009%;"
"207","Course Schedule","/problems/course-schedule","N","45.4%","Medium","47.8438%;"
"270","Closest Binary Search Tree Value","/problems/closest-binary-search-tree-value","Y","54.6%","Easy","100%;"
"787","Cheapest Flights Within K Stops","/problems/cheapest-flights-within-k-stops","N","35.9%","Medium","69.1653%;"
