"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"21","Merge Two Sorted Lists","/problems/merge-two-sorted-lists","N","61.9%","Easy","0.461432%;"
"23","Merge k Sorted Lists","/problems/merge-k-sorted-lists","N","48.5%","Hard","1.62339%;"
"68","Text Justification","/problems/text-justification","N","36.8%","Hard","10.3594%;"
"79","Word Search","/problems/word-search","N","39.8%","Medium","18.031%;"
"88","Merge Sorted Array","/problems/merge-sorted-array","N","45.8%","Easy","0.794895%;"
"212","Word Search II","/problems/word-search-ii","N","36.9%","Hard","4.04373%;"
"347","Top K Frequent Elements","/problems/top-k-frequent-elements","N","64.8%","Medium","1.3479%;"
"718","Maximum Length of Repeated Subarray","/problems/maximum-length-of-repeated-subarray","N","51.5%","Medium","24.7793%;"
"811","Subdomain Visit Count","/problems/subdomain-visit-count","N","75.2%","Medium","100%;"
"1160","Find Words That Can Be Formed by Characters","/problems/find-words-that-can-be-formed-by-characters","N","67.7%","Easy","62.2962%;"
"1197","Minimum Knight Moves","/problems/minimum-knight-moves","Y","39.7%","Medium","96.7903%;"
"1604","Alert Using Same Key-Card Three or More Times in a One Hour Period","/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period","N","47.3%","Medium","27.8021%;"
