"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"146","LRU Cache","/problems/lru-cache","N","40.5%","Medium","56.6759%;"
"295","Find Median from Data Stream","/problems/find-median-from-data-stream","N","51.5%","Hard","43.3241%;"
"487","Max Consecutive Ones II","/problems/max-consecutive-ones-ii","Y","49.6%","Medium","100%;"
