"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"17","Letter Combinations of a Phone Number","/problems/letter-combinations-of-a-phone-number","N","55.7%","Medium","3.42847%;"
"31","Next Permutation","/problems/next-permutation","N","37.2%","Medium","4.42904%;"
"41","First Missing Positive","/problems/first-missing-positive","N","36.6%","Hard","4.84986%;"
"53","Maximum Subarray","/problems/maximum-subarray","N","50.1%","Medium","1.43213%;"
"120","Triangle","/problems/triangle","N","54.0%","Medium","9.74996%;"
"121","Best Time to Buy and Sell Stock","/problems/best-time-to-buy-and-sell-stock","N","54.4%","Easy","1.02425%;"
"238","Product of Array Except Self","/problems/product-of-array-except-self","N","64.7%","Medium","2.4834%;"
"380","Insert Delete GetRandom O(1)","/problems/insert-delete-getrandom-o1","N","52.0%","Medium","9.80677%;"
"695","Max Area of Island","/problems/max-area-of-island","N","71.7%","Medium","23.8467%;"
"1000","Minimum Cost to Merge Stones","/problems/minimum-cost-to-merge-stones","N","42.3%","Hard","100%;"
"1004","Max Consecutive Ones III","/problems/max-consecutive-ones-iii","N","63.4%","Medium","22.6333%;"
"1537","Get the Maximum Score","/problems/get-the-maximum-score","N","39.3%","Hard","61.9234%;"
