"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"49","Group Anagrams","/problems/group-anagrams","N","66.5%","Medium","0.854117%;"
"153","Find Minimum in Rotated Sorted Array","/problems/find-minimum-in-rotated-sorted-array","N","48.5%","Medium","1.23917%;"
"353","Design Snake Game","/problems/design-snake-game","Y","39.1%","Medium","85.8597%;"
"359","Logger Rate Limiter","/problems/logger-rate-limiter","Y","75.5%","Easy","15.6987%;"
"441","Arranging Coins","/problems/arranging-coins","N","46.1%","Easy","8.85178%;"
"692","Top K Frequent Words","/problems/top-k-frequent-words","N","56.9%","Medium","7.58987%;"
"730","Count Different Palindromic Subsequences","/problems/count-different-palindromic-subsequences","N","44.5%","Hard","41.9218%;"
"757","Set Intersection Size At Least Two","/problems/set-intersection-size-at-least-two","N","43.8%","Hard","92.6407%;"
"1334","Find the City With the Smallest Number of Neighbors at a Threshold Distance","/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance","N","53.2%","Medium","41.9218%;"
"1366","Rank Teams by Votes","/problems/rank-teams-by-votes","N","58.6%","Medium","100%;"
"1381","Design a Stack With Increment Operation","/problems/design-a-stack-with-increment-operation","N","77.3%","Medium","19.5042%;"
"1639","Number of Ways to Form a Target String Given a Dictionary","/problems/number-of-ways-to-form-a-target-string-given-a-dictionary","N","42.8%","Hard","64.3393%;"
