"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"4","Median of Two Sorted Arrays","/problems/median-of-two-sorted-arrays","N","35.3%","Hard","0.441236%;"
"12","Integer to Roman","/problems/integer-to-roman","N","61.5%","Medium","1.01403%;"
"15","3Sum","/problems/3sum","N","32.3%","Medium","0.293229%;"
"20","Valid Parentheses","/problems/valid-parentheses","N","40.6%","Easy","1.76594%;"
"33","Search in Rotated Sorted Array","/problems/search-in-rotated-sorted-array","N","38.7%","Medium","6.08567%;"
"34","Find First and Last Position of Element in Sorted Array","/problems/find-first-and-last-position-of-element-in-sorted-array","N","41.6%","Medium","1.44392%;"
"39","Combination Sum","/problems/combination-sum","N","67.8%","Medium","0.714957%;"
"50","Pow(x, n)","/problems/powx-n","N","32.8%","Medium","1.5222%;"
"53","Maximum Subarray","/problems/maximum-subarray","N","50.1%","Medium","4.54037%;"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","0.594641%;"
"61","Rotate List","/problems/rotate-list","N","35.8%","Medium","2.9687%;"
"65","Valid Number","/problems/valid-number","N","18.6%","Hard","16.4245%;"
"68","Text Justification","/problems/text-justification","N","36.8%","Hard","41.9743%;"
"76","Minimum Window Substring","/problems/minimum-window-substring","N","40.7%","Hard","1.18581%;"
"88","Merge Sorted Array","/problems/merge-sorted-array","N","45.8%","Easy","0.924346%;"
"100","Same Tree","/problems/same-tree","N","56.4%","Easy","2.1931%;"
"101","Symmetric Tree","/problems/symmetric-tree","N","53.0%","Easy","1.53748%;"
"102","Binary Tree Level Order Traversal","/problems/binary-tree-level-order-traversal","N","63.4%","Medium","2.13674%;"
"103","Binary Tree Zigzag Level Order Traversal","/problems/binary-tree-zigzag-level-order-traversal","N","55.2%","Medium","1.48137%;"
"104","Maximum Depth of Binary Tree","/problems/maximum-depth-of-binary-tree","N","73.2%","Easy","0.98947%;"
"125","Valid Palindrome","/problems/valid-palindrome","N","43.7%","Easy","0.850633%;"
"127","Word Ladder","/problems/word-ladder","N","36.7%","Hard","9.48833%;"
"146","LRU Cache","/problems/lru-cache","N","40.5%","Medium","2.09097%;"
"149","Max Points on a Line","/problems/max-points-on-a-line","N","21.8%","Hard","22.4894%;"
"150","Evaluate Reverse Polish Notation","/problems/evaluate-reverse-polish-notation","N","44.1%","Medium","5.71968%;"
"152","Maximum Product Subarray","/problems/maximum-product-subarray","N","34.9%","Medium","4.59558%;"
"156","Binary Tree Upside Down","/problems/binary-tree-upside-down","Y","61.6%","Medium","27.4639%;"
"187","Repeated DNA Sequences","/problems/repeated-dna-sequences","N","46.3%","Medium","4.0878%;"
"189","Rotate Array","/problems/rotate-array","N","39.2%","Medium","0.579014%;"
"205","Isomorphic Strings","/problems/isomorphic-strings","N","42.6%","Easy","5.12181%;"
"215","Kth Largest Element in an Array","/problems/kth-largest-element-in-an-array","N","65.8%","Medium","14.8704%;"
"235","Lowest Common Ancestor of a Binary Search Tree","/problems/lowest-common-ancestor-of-a-binary-search-tree","N","60.3%","Medium","3.18893%;"
"236","Lowest Common Ancestor of a Binary Tree","/problems/lowest-common-ancestor-of-a-binary-tree","N","58.1%","Medium","2.58551%;"
"241","Different Ways to Add Parentheses","/problems/different-ways-to-add-parentheses","N","63.3%","Medium","8.27535%;"
"243","Shortest Word Distance","/problems/shortest-word-distance","Y","64.9%","Easy","40.431%;"
"244","Shortest Word Distance II","/problems/shortest-word-distance-ii","Y","60.7%","Medium","80.6291%;"
"245","Shortest Word Distance III","/problems/shortest-word-distance-iii","Y","57.5%","Medium","31.7391%;"
"254","Factor Combinations","/problems/factor-combinations","Y","48.8%","Medium","35.2175%;"
"256","Paint House","/problems/paint-house","Y","60.7%","Medium","37.186%;"
"272","Closest Binary Search Tree Value II","/problems/closest-binary-search-tree-value-ii","Y","58.3%","Hard","56.0595%;"
"273","Integer to English Words","/problems/integer-to-english-words","N","29.9%","Hard","11.1973%;"
"277","Find the Celebrity","/problems/find-the-celebrity","Y","46.5%","Medium","19.2844%;"
"339","Nested List Weight Sum","/problems/nested-list-weight-sum","Y","82.2%","Medium","58.0436%;"
"360","Sort Transformed Array","/problems/sort-transformed-array","Y","54.7%","Medium","47.1986%;"
"364","Nested List Weight Sum II","/problems/nested-list-weight-sum-ii","Y","67.0%","Medium","100%;"
"366","Find Leaves of Binary Tree","/problems/find-leaves-of-binary-tree","Y","80.1%","Medium","37.4869%;"
"367","Valid Perfect Square","/problems/valid-perfect-square","N","43.3%","Easy","1.89829%;"
"373","Find K Pairs with Smallest Sums","/problems/find-k-pairs-with-smallest-sums","N","38.3%","Medium","6.24893%;"
"380","Insert Delete GetRandom O(1)","/problems/insert-delete-getrandom-o1","N","52.0%","Medium","23.4638%;"
"381","Insert Delete GetRandom O(1) - Duplicates allowed","/problems/insert-delete-getrandom-o1-duplicates-allowed","N","35.7%","Hard","12.7777%;"
"432","All O`one Data Structure","/problems/all-oone-data-structure","N","36.7%","Hard","82.3724%;"
"464","Can I Win","/problems/can-i-win","N","29.8%","Medium","28.7299%;"
"605","Can Place Flowers","/problems/can-place-flowers","N","32.9%","Easy","19.9076%;"
"611","Valid Triangle Number","/problems/valid-triangle-number","N","50.4%","Medium","5.59066%;"
"698","Partition to K Equal Sum Subsets","/problems/partition-to-k-equal-sum-subsets","N","40.8%","Medium","27.8626%;"
"716","Max Stack","/problems/max-stack","Y","45.3%","Hard","75.6712%;"
"730","Count Different Palindromic Subsequences","/problems/count-different-palindromic-subsequences","N","44.5%","Hard","40.0826%;"
"744","Find Smallest Letter Greater Than Target","/problems/find-smallest-letter-greater-than-target","N","44.8%","Easy","9.69411%;"
"430","Flatten a Multilevel Doubly Linked List","/problems/flatten-a-multilevel-doubly-linked-list","N","59.5%","Medium","8.71034%;"
"833","Find And Replace in String","/problems/find-and-replace-in-string","N","54.1%","Medium","18.5901%;"
"1041","Robot Bounded In Circle","/problems/robot-bounded-in-circle","N","55.3%","Medium","22.4053%;"
"1046","Last Stone Weight","/problems/last-stone-weight","N","64.7%","Easy","6.93571%;"
"1197","Minimum Knight Moves","/problems/minimum-knight-moves","Y","39.7%","Medium","11.9118%;"
"1188","Design Bounded Blocking Queue","/problems/design-bounded-blocking-queue","Y","72.9%","Medium","30.1441%;"
"1129","Shortest Path with Alternating Colors","/problems/shortest-path-with-alternating-colors","N","43.0%","Medium","10.6861%;"
"1598","Crawler Log Folder","/problems/crawler-log-folder","N","64.4%","Easy","9.95778%;"
"1650","Lowest Common Ancestor of a Binary Tree III","/problems/lowest-common-ancestor-of-a-binary-tree-iii","Y","77.3%","Medium","24.6421%;"
