"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"1210","Minimum Moves to Reach Target with Rotations","/problems/minimum-moves-to-reach-target-with-rotations","N","49.0%","Hard","0%;"
"2212","Maximum Points in an Archery Competition","/problems/maximum-points-in-an-archery-competition","N","48.9%","Medium","0%;"
