"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"36","Valid Sudoku","/problems/valid-sudoku","N","56.9%","Medium","5.58654%;"
"200","Number of Islands","/problems/number-of-islands","N","56.4%","Medium","3.51544%;"
"283","Move Zeroes","/problems/move-zeroes","N","61.4%","Easy","3.25263%;"
"347","Top K Frequent Elements","/problems/top-k-frequent-elements","N","64.8%","Medium","4.88081%;"
"976","Largest Perimeter Triangle","/problems/largest-perimeter-triangle","N","54.5%","Easy","18.8621%;"
"1189","Maximum Number of Balloons","/problems/maximum-number-of-balloons","N","61.8%","Easy","60.5192%;"
"1578","Minimum Time to Make Rope Colorful","/problems/minimum-time-to-make-rope-colorful","N","63.7%","Medium","53.5884%;"
"1570","Dot Product of Two Sparse Vectors","/problems/dot-product-of-two-sparse-vectors","Y","90.3%","Medium","65.2737%;"
"1615","Maximal Network Rank","/problems/maximal-network-rank","N","58.1%","Medium","100%;"
