"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"48","Rotate Image","/problems/rotate-image","N","70.1%","Medium","1.92797%;"
"359","Logger Rate Limiter","/problems/logger-rate-limiter","Y","75.5%","Easy","14.3838%;"
"394","Decode String","/problems/decode-string","N","57.6%","Medium","4.14712%;"
"490","The Maze","/problems/the-maze","Y","55.4%","Medium","62.8798%;"
"804","Unique Morse Code Words","/problems/unique-morse-code-words","N","82.7%","Easy","12.8384%;"
"859","Buddy Strings","/problems/buddy-strings","N","29.1%","Easy","12.8384%;"
"1366","Rank Teams by Votes","/problems/rank-teams-by-votes","N","58.6%","Medium","25.7595%;"
"1790","Check if One String Swap Can Make Strings Equal","/problems/check-if-one-string-swap-can-make-strings-equal","N","45.6%","Easy","21.9153%;"
"2296","Design a Text Editor","/problems/design-a-text-editor","N","39.9%","Hard","100%;"
