"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"36","Valid Sudoku","/problems/valid-sudoku","N","56.9%","Medium","100%;"
"88","Merge Sorted Array","/problems/merge-sorted-array","N","45.8%","Easy","50%;"
