"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"3","Longest Substring Without Repeating Characters","/problems/longest-substring-without-repeating-characters","N","33.8%","Medium","1.73232%;"
"4","Median of Two Sorted Arrays","/problems/median-of-two-sorted-arrays","N","35.3%","Hard","0.673%;"
"11","Container With Most Water","/problems/container-with-most-water","N","54.3%","Medium","0.552581%;"
"13","Roman to Integer","/problems/roman-to-integer","N","58.2%","Easy","0.319819%;"
"15","3Sum","/problems/3sum","N","32.3%","Medium","0.447251%;"
"22","Generate Parentheses","/problems/generate-parentheses","N","71.9%","Medium","2.58316%;"
"23","Merge k Sorted Lists","/problems/merge-k-sorted-lists","N","48.5%","Hard","1.29727%;"
"25","Reverse Nodes in k-Group","/problems/reverse-nodes-in-k-group","N","53.7%","Hard","4.90934%;"
"33","Search in Rotated Sorted Array","/problems/search-in-rotated-sorted-array","N","38.7%","Medium","0.677389%;"
"37","Sudoku Solver","/problems/sudoku-solver","N","56.8%","Hard","3.86637%;"
"41","First Missing Positive","/problems/first-missing-positive","N","36.6%","Hard","1.64463%;"
"46","Permutations","/problems/permutations","N","74.9%","Medium","1.11825%;"
"49","Group Anagrams","/problems/group-anagrams","N","66.5%","Medium","0.853463%;"
"54","Spiral Matrix","/problems/spiral-matrix","N","43.8%","Medium","1.22495%;"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","0.906982%;"
"62","Unique Paths","/problems/unique-paths","N","62.3%","Medium","1.17217%;"
"79","Word Search","/problems/word-search","N","39.8%","Medium","8.24704%;"
"91","Decode Ways","/problems/decode-ways","N","32.3%","Medium","14.4464%;"
"93","Restore IP Addresses","/problems/restore-ip-addresses","N","43.5%","Medium","15.1196%;"
"124","Binary Tree Maximum Path Sum","/problems/binary-tree-maximum-path-sum","N","38.5%","Hard","1.89887%;"
"131","Palindrome Partitioning","/problems/palindrome-partitioning","N","62.5%","Medium","3.11672%;"
"139","Word Break","/problems/word-break","N","45.5%","Medium","1.56789%;"
"146","LRU Cache","/problems/lru-cache","N","40.5%","Medium","5.44494%;"
"148","Sort List","/problems/sort-list","N","54.3%","Medium","5.3948%;"
"163","Missing Ranges","/problems/missing-ranges","Y","32.0%","Easy","8.04365%;"
"200","Number of Islands","/problems/number-of-islands","N","56.4%","Medium","2.98432%;"
"204","Count Primes","/problems/count-primes","N","33.1%","Medium","6.96139%;"
"207","Course Schedule","/problems/course-schedule","N","45.4%","Medium","4.55771%;"
"210","Course Schedule II","/problems/course-schedule-ii","N","48.0%","Medium","21.2164%;"
"212","Word Search II","/problems/word-search-ii","N","36.9%","Hard","3.23141%;"
"213","House Robber II","/problems/house-robber-ii","N","40.7%","Medium","4.63438%;"
"221","Maximal Square","/problems/maximal-square","N","44.6%","Medium","19.3008%;"
"227","Basic Calculator II","/problems/basic-calculator-ii","N","42.2%","Medium","9.95027%;"
"236","Lowest Common Ancestor of a Binary Tree","/problems/lowest-common-ancestor-of-a-binary-tree","N","58.1%","Medium","1.8202%;"
