"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"56","Merge Intervals","/problems/merge-intervals","N","46.0%","Medium","50%;"
"706","Design HashMap","/problems/design-hashmap","N","65.0%","Easy","100%;"
