"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"295","Find Median from Data Stream","/problems/find-median-from-data-stream","N","51.5%","Hard","39.2264%;"
"353","Design Snake Game","/problems/design-snake-game","Y","39.1%","Medium","100%;"
"1347","Minimum Number of Steps to Make Two Strings Anagram","/problems/minimum-number-of-steps-to-make-two-strings-anagram","N","77.4%","Medium","60.7736%;"
