"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"299","Bulls and Cows","/problems/bulls-and-cows","N","48.7%","Medium","16.4062%;"
"347","Top K Frequent Elements","/problems/top-k-frequent-elements","N","64.8%","Medium","3.26146%;"
"875","Koko Eating Bananas","/problems/koko-eating-bananas","N","52.2%","Medium","22.2774%;"
"991","Broken Calculator","/problems/broken-calculator","N","54.1%","Medium","61.1387%;"
"1567","Maximum Length of Subarray With Positive Product","/problems/maximum-length-of-subarray-with-positive-product","N","43.8%","Medium","100%;"
