"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"238","Product of Array Except Self","/problems/product-of-array-except-self","N","64.7%","Medium","50%;"
"973","K Closest Points to Origin","/problems/k-closest-points-to-origin","N","65.8%","Medium","100%;"
